Context,Response
Context: about 50 percent of the time he's traveling.,Response: where does he travel to?
Context: where does he travel to?,"Response: oh, all over the world."
"Context: oh, all over the world.",Response: but he's supposed to be making our city a better place.
Context: but he's supposed to be making our city a better place.,Response: he's visiting other cities to get ideas.
Context: he's visiting other cities to get ideas.,Response: can't he just go online?
Context: can't he just go online?,Response: the rest of the time he's raising money for his reelection.
Context: the rest of the time he's raising money for his reelection.,"Response: well, he'll never get reelected once this news gets out."
Context: who did you vote for for president?,Response: i voted for ralph nader.
Context: i voted for ralph nader.,Response: who in the world is ralph nader?
Context: who in the world is ralph nader?,Response: he's the best man for president.
Context: he's the best man for president.,Response: why's that?
Context: why's that?,Response: he hates corporations.
Context: he hates corporations.,"Response: well, most corporations do think only about money."
"Context: well, most corporations do think only about money.",Response: he hates democrats and republicans.
Context: he hates democrats and republicans.,"Response: well, they do put their party before their country."
"Context: well, they do put their party before their country.",Response: he's the only candidate that i trust.
Context: he's the only candidate that i trust.,Response: but he didn't have a chance. nobody voted for him!
Context: but he didn't have a chance. nobody voted for him!,"Response: sooner or later, voters will wake up."
Context: i don't know why i bother to vote.,Response: why's that?
Context: why's that?,Response: what good does it do?
Context: what good does it do?,Response: you get to put someone in power that you like.
Context: you get to put someone in power that you like.,Response: only if my candidate wins.
Context: only if my candidate wins.,"Response: well, he can't win unless you and others vote for him."
"Context: well, he can't win unless you and others vote for him.","Response: but even if my candidate wins, he'll break his promises."
"Context: but even if my candidate wins, he'll break his promises.",Response: that's true. they promise anything just so they get elected.
Context: that's true. they promise anything just so they get elected.,"Response: and when elected, they go their own way."
"Context: and when elected, they go their own way.",Response: they forget who put them in power.
Context: they forget who put them in power.,Response: they forget where they came from.
Context: they forget where they came from.,Response: maybe you should run for office.
Context: that election for u.s. senator stunk.,Response: what do you mean?
Context: what do you mean?,Response: there were more votes than voters!
Context: there were more votes than voters!,Response: but that's impossible.
Context: but that's impossible.,Response: officials said that it's possible.
Context: officials said that it's possible.,Response: did they explain how it's possible?
Context: did they explain how it's possible?,Response: no. they said there are some things you can't explain.
Context: no. they said there are some things you can't explain.,Response: so are they going to hold another election?
Context: so are they going to hold another election?,Response: no. that will cost too much money.
Context: no. that will cost too much money.,Response: so it's better to save money than to have an honest election?
Context: so it's better to save money than to have an honest election?,"Response: well, the democratic party says it was an honest election."
"Context: well, the democratic party says it was an honest election.",Response: of course they say thattheir man won!
Context: i see that former president bush is at a conference.,Response: yes. he's telling jokes about his eight years as president.
Context: yes. he's telling jokes about his eight years as president.,"Response: yes, those eight years were a lot of fun for everyone."
"Context: yes, those eight years were a lot of fun for everyone.","Response: only 4,000 american soldiers were killed overseas."
"Context: only 4,000 american soldiers were killed overseas.","Response: not to mention 40,000 wounded soldiers."
"Context: not to mention 40,000 wounded soldiers.",Response: but bush visited some of them in the hospital once.
Context: but bush visited some of them in the hospital once.,Response: that's nice that he found the time to make a visit.
Context: that's nice that he found the time to make a visit.,Response: he spoke to them and made them feel better.
Context: he spoke to them and made them feel better.,Response: did he speak to every family that lost a soldier?
Context: did he speak to every family that lost a soldier?,"Response: no, he didn't have time to do that."
"Context: no, he didn't have time to do that.","Response: well, he's got plenty of time now!"
